input,num_days,num_fishes,solve_time
0,0,1,0.0001
0,1,2,0.0
0,2,2,0.0
0,3,2,0.0
0,4,2,0.0
0,5,2,0.0
0,6,2,0.0
0,7,2,0.0
0,8,3,0.0
0,9,3,0.0
0,10,4,0.0
0,11,4,0.0
0,12,4,0.0
0,13,4,0.0
0,14,4,0.0
0,15,5,0.0001
0,16,5,0.0001
0,17,7,0.0001
0,18,7,0.0001
0,19,8,0.0001
0,20,8,0.0001
0,21,8,0.0001
0,22,9,0.0001
0,23,9,0.0001
0,24,12,0.0001
0,25,12,0.0001
0,26,15,0.0001
0,27,15,0.0001
0,28,16,0.0001
0,29,17,0.0001
0,30,17,0.0001
0,31,21,0.0002
0,32,21,0.0002
0,33,27,0.0002
0,34,27,0.0002
0,35,31,0.0002
0,36,32,0.0003
0,37,33,0.0003
0,38,38,0.0003
0,39,38,0.0003
0,40,48,0.0004
0,41,48,0.0004
0,42,58,0.0004
0,43,59,0.0005
0,44,64,0.0005
0,45,70,0.0006
0,46,71,0.0006
0,47,86,0.0007
0,48,86,0.0007
0,49,106,0.0008
0,50,107,0.0008
0,51,122,0.0009
0,52,129,0.001
0,53,135,0.001
0,54,156,0.0012
0,55,157,0.0012
0,56,192,0.0015
0,57,193,0.0015
0,58,228,0.0017
0,59,236,0.0018
0,60,257,0.0019
0,61,285,0.0021
0,62,292,0.0023
0,63,348,0.0026
0,64,350,0.0027
0,65,420,0.0032
0,66,429,0.0033
0,67,485,0.0038
0,68,521,0.0042
0,69,549,0.0042
0,70,633,0.0048
0,71,642,0.0049
0,72,768,0.0058
0,73,779,0.006
0,74,905,0.0069
0,75,950,0.0072
0,76,1034,0.0078
0,77,1154,0.0087
0,78,1191,0.0089
0,79,1401,0.0104
0,80,1421,0.0106
0,81,1673,0.0128
0,82,1729,0.0131
0,83,1939,0.0144
0,84,2104,0.0158
0,85,2225,0.0169
0,86,2555,0.0196
0,87,2612,0.0194
0,88,3074,0.0233
0,89,3150,0.0242
0,90,3612,0.0269
0,91,3833,0.0288
0,92,4164,0.0316
0,93,4659,0.0353
0,94,4837,0.0359
0,95,5629,0.0421
0,96,5762,0.0433
0,97,6686,0.0511
0,98,6983,0.0546
0,99,7776,0.062
0,100,8492,0.0727
0,101,9001,0.0737
0,102,10288,0.0816
0,103,10599,0.0843
0,104,12315,0.0968
0,105,12745,0.1032
0,106,14462,0.1183
0,107,15475,0.1375
0,108,16777,0.1328
0,109,18780,0.1523
0,110,19600,0.1586
0,111,22603,0.1828
0,112,23344,0.1903
0,113,26777,0.2202
0,114,28220,0.2335
0,115,31239,0.2528
0,116,34255,0.2945
0,117,36377,0.3088
0,118,41383,0.3927
0,119,42944,0.3753
0,120,49380,0.4412
0,121,51564,0.459
0,122,58016,0.516
0,123,62475,0.5811
0,124,67616,0.6168
0,125,75638,0.7018
0,126,79321,0.7362
0,127,90763,0.8692
0,128,94508,0.8806
0,129,107396,1.0727
0,130,114039,1.1703
0,131,125632,1.3029
0,132,138113,1.4891
0,133,146937,1.6395
0,134,166401,1.9697
0,135,173829,2.0296
0,136,198159,2.5166
0,137,208547,2.6719
0,138,233028,3.1829
0,139,252152,3.6622
0,140,272569,3.9616
0,141,304514,4.9521
0,142,320766,5.2518
0,143,364560,6.5288
0,144,382376,6.75
0,145,431187,8.2729
0,146,460699,9.1495
0,147,505597,10.3232
0,148,556666,12.8402
0,149,593335,13.6108
0,150,669074,17.0336
0,151,703142,17.8958
0,152,795747,22.5075
0,153,843075,24.3538
0,154,936784,28.86
0,155,1017365,50.1195
0,156,1098932,53.2125
0,157,1225740,116.5484
0,158,1296477,116.8114
0,159,1464821,197.1837
0,160,1546217,210.0888
0,161,1732531,288.3608
0,162,1860440,335.8801
0,163,2035716,392.6238
0,164,2243105,503.4521
0,165,2395409,545.3642
0,166,2690561,742.5885
0,167,2842694,775.3405
0,168,3197352,1021.7928
0,169,3406657,1112.3404
0,170,3768247,1392.0563
0,171,4103545,1716.9066
0,172,4431125,1898.1061
0,173,4933666,2592.5535
0,174,5238103,2715.8411
0,175,5887913,3748.9959
0,176,6249351,4010.3511
0,177,6965599,5108.6762
0,178,7510202,5918.0637
0,179,8199372,6818.7328
